Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Novelty,Diversity,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,[Na+].OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,kidney,Rat,Human,0.981818182,0.938224196,1,0.728033473,,brain,0.428051013,0.831852525
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,CCOC(=O)[C@@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,kidney,Rat,Human,0.380434783,0.090743154,0,0.728033473,,prostate,0.301211103,0.708734089
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,OC(=O)CN1C(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,prostate,Rat,Human,0.608695652,0.99861896,1,0.869565217,,kidney,0.320999705,0.70789774
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,OC(=O)CN(CC(O)=O)CC(O)=O,kidney,Rat,Human,0.155844156,0.349480122,0,0.728033473,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC1=C(C=C(C(O)=C1)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,0.212121212,0.349616766,0,0.728033473,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,CN1C=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,brain,Rat,Human,0.6875,0.848491967,1,1,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.486486486,0.44581309,0,0.728033473,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CS(O)(=O)=O.CC(C)(C)C1=CC(\C=C2/SC(=N)NC2=O)=CC(=C1O)C(C)(C)C,kidney,Rat,Human,0.16,0.953298986,0,0.728033473,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0,0.728033473,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@]2(O)C#C,kidney,Rat,Human,0.172727273,0.763738275,1,0.728033473,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,[Cl-].CCCCCCCCCCCCCCCCCNC(=O)OC1CCN(CC1)C1=CC=CC=C1OC,kidney,Rat,Human,0.48,0.095254123,1,0.728033473,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,ClC1=NC(C#N)=C(Cl)C(Cl)=C1Cl,kidney,Rat,Human,0.236363636,0.922912598,0,0.728033473,,,,
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,kidney,Rat,Human,0.273809524,0.433240235,0,0.728033473,,,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,CC(O)=O.CC(=O)OC1=CC=C(CN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C1,prostate,Rat,Human,0.320512821,0.520277679,1,0.869565217,,,,
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,Cl.Cl.CN1CCC(CC1)NC1=NC2=C(NC3=CC(Cl)=C(F)C=C3)N=CN=C2C=N1,kidney,Rat,Human,0.240384615,0.668230772,0,0.728033473,,,,
