Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Diversity,,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,OC1=CC=CC(O)=C1O,kidney,Rat,Human,0.181818182,0.986694336,0.907172996,,,brain,0.198388221,0.758082203
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,CCOC(=O)NC1=C(C2=NC3=CC(OCCC3)=C2C=O)C=C1,kidney,Rat,Human,0.133333333,0.18990922,0.907172996,,,prostate,0.278657495,0.621266025
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,OC1=CC=C(I)C(I)=C1I,prostate,Rat,Human,0.296875,0.999985695,0.967391304,,,kidney,0.26645356,0.594912275
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,kidney,Rat,Human,0.836065574,0.007385379,0.907172996,,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC=CC(=O)OC1=CC=C(C=C1)C(C)(C)C,kidney,Rat,Human,0.202898551,0.544982314,0.907172996,,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1=COC2=NC(OC3=CC=C3)=C2C1=O,brain,Rat,Human,0.29,0.705311954,1,,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(OCCCCOC(=O)C1=CC=C(O)C=C1)C1=CC=CC=C1,kidney,Rat,Human,0.318681319,0.432730824,0.907172996,,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,Cl.CC1=NN=C1C1=C(C(C)=NOC(=O)NC1=C=C(F)C(=C1)N=C1)C1=CC=CC=C1F,kidney,Rat,Human,0.198473282,0.298526883,0.907172996,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Pb](C=O)C1=CC=CC=C1,kidney,Rat,Human,0.188888889,0.999841928,0.907172996,,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,C[C@]12CC[C@H]3[C@@H](CCCC4=C3C=CC=C4)[C@@H]1CC[C@@H]2O,kidney,Rat,Human,0.168224299,0.65386337,0.907172996,,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)OC1=CC=C(NC=C1)C(=O)C(C)(C)OC1=CC=CC=C1,kidney,Rat,Human,0.46875,0.163564146,0.907172996,,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,ClC1=NC(Cl)=C(Cl)S1Cl,kidney,Rat,Human,0.2,0.544064641,0.907172996,,,,,
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,CC1=C(N)C=C(C=C1)N=NC1=CC=C(C)C=C1,kidney,Rat,Human,0.195652174,0.577054024,0.907172996,,,,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,[Na+].CCCOC1=NNC(NC)=NC(=N1)NC1=CC=CC=C1,prostate,Rat,Human,0.152866242,0.513628304,0.967391304,,,,,
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,NC1=CC=C(NC2=CC=C(O)N=C2)C=C1,kidney,Rat,Human,0.226666667,0.162494779,0.907172996,,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,OC1=CC=C(C=C1)C1=CC=C(O)C=C1,kidney,Rat,Human,0.463768116,0.825511694,0.907172996,,,,,
