Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Diversity,,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O,kidney,Rat,Human,0.666666667,0.924857855,0.793248945,,,brain,0.350261419,0.785556258
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,CC(=O)O[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(O)=CC=C4[C@H]3CC[C@]12C,kidney,Rat,Human,0.128440367,0.753066063,0.793248945,,,prostate,0.307945897,0.612521899
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,OC(=O)CCCCC1=CC(I)=C(O)C2=C(O1)C=C(I)C(I)=C2O,prostate,Rat,Human,0.279569892,0.929410875,0.923913043,,,kidney,0.347894397,0.626428898
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,C=CC(=O)OCCN1C(=O)N(CCOC(=O)C=C)C(=O)N(CCOC(=O)C=C)C1=O,kidney,Rat,Human,0.412371134,0.017385641,0.793248945,,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC1=C(C=C(C(O)=C1)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,0.212121212,0.349616706,0.793248945,,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1(OC(=O)C2=C(O1)C=CC(O)C=C2)C1=CC=C(O)C=C1,brain,Rat,Human,0.536842105,0.901498914,1,,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.486486486,0.44581309,0.793248945,,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CS(O)(=O)=O.CC(C)(C)C1=CC(\C=C2/SC(=N)NC2=O)=CC(=C1O)C(C)(C)C,kidney,Rat,Human,0.16,0.953298986,0.793248945,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.793248945,,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OC3CC3)=C4)[C@@H]1CC[C@@]2(O)C#C,kidney,Rat,Human,0.2,0.702287376,0.793248945,,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,CC(C)CCCCCCCCCCCCCCCC[N+](C)(C)C1=CC=CC=C1,kidney,Rat,Human,0.653061224,0.044079751,0.793248945,,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,ClC1=NC(C#N)=C(Cl)C(Cl)=C1Cl,kidney,Rat,Human,0.236363636,0.922912598,0.793248945,,,,,
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,CC(C)C[C@H]1CC[C@](C)(O1)C(=O)C1=CC=CC=C1,kidney,Rat,Human,0.258426966,0.415633142,0.793248945,,,,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,CS(O)(=O)=O.CCOC1=CC=CC=C1,prostate,Rat,Human,0.196969697,0.493810624,0.923913043,,,,,
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,Cl.Cl.CN1CCC(CC1)NC1=NC2=C(NC3=CC(Cl)=C(F)C=C3)N=CN=C2C=N1,kidney,Rat,Human,0.240384615,0.668230772,0.793248945,,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,CC1(C)CNC(NC1)=NN=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F,kidney,Rat,Human,0.338983051,0.931098282,0.793248945,,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.422535211,0.445813268,0.793248945,,,,,
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,O=CC1=C(OC2=C1C1=C(C=CC=C1)C=C2)C1=CC=CC=C1,kidney,Rat,Human,0.513513514,0.47282359,0.793248945,,,,,
[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,C\C=C/C(O)=O,kidney,Rat,Human,0.045977011,0.854164362,0.793248945,,,,,
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.275,0.44581309,0.793248945,,,,,
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,COP(=O)(NC(C)C)OC1=C(C=C(C)C=C1)[N+]([O-])=O,prostate,Rat,Human,0.397058824,0.482371092,0.923913043,,,,,
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C(O)=C1,prostate,Rat,Human,0.430555556,0.740257919,0.923913043,,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,C(=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.492957746,0.642936528,0.793248945,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",C(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.47826087,0.999660969,0.793248945,,,,,
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,CC(C)(O)C(=O)NC1=C=CC(Cl)=C1,prostate,Rat,Human,0.307692308,0.632558703,0.923913043,,,,,
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,ClC12[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]S2(Cl)[C@H]1Cl,kidney,Rat,Human,0.36,0.918900847,0.793248945,,,,,
