Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Diversity,,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O,kidney,Rat,Human,0.666666667,0.924857855,0.786610879,,,brain,0.283688078,0.802106092
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,CC1=C(C=CC=C1)C1(C)C2=C(C=C1C=C2)C(C)(C)C,kidney,Rat,Human,0.161290323,0.581148982,0.786610879,,,prostate,0.355674095,0.591000189
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,CC1=CC(C=C1)C(=O)NC1=CC(I)=C(O)C(I)=C1,prostate,Rat,Human,0.277108434,0.994563282,0.967391304,,,kidney,0.339545829,0.637032744
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,C=CC(=O)OCCN1C(=O)N(CCOC(=O)C=C)C(=O)N(CCOC(=O)C=C)C1=O,kidney,Rat,Human,0.412371134,0.017385641,0.786610879,,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC1=C(C=C(C(Br)=C1)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,0.212121212,0.414088249,0.786610879,,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)SC1=CC=C(\C=C1)C1=CC=C(O)C=C1,brain,Rat,Human,0.444444444,0.79211241,0.944444444,,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.486486486,0.44581309,0.786610879,,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CC(C)C1=NC2=C(N=C1)C(=O)N2C,kidney,Rat,Human,0.182795699,0.655479133,0.786610879,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.786610879,,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,kidney,Rat,Human,0.211009174,0.707252085,0.786610879,,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,[Cl-].CCCCCCCCCCCCCCCCCCCCCCCCNC1CCCCCCC1,kidney,Rat,Human,0.403100775,0.061393309,0.786610879,,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,ClC1=NC(C#N)=C(Cl)C(Cl)=C1Cl,kidney,Rat,Human,0.236363636,0.922912598,0.786610879,,,,,
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,CC1=CC(=CC(O)=C1O)C(=O)N1CCCOC1,kidney,Rat,Human,0.112244898,0.226764753,0.786610879,,,,,
