Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Diversity,,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O,kidney,Rat,Human,0.666666667,0.924857855,0.732217573,,,brain,0.362826332,0.737968008
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,CCOC(=O)[C@@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,kidney,Rat,Human,0.380434783,0.090743154,0.732217573,,,prostate,0.326221201,0.656269607
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,OC1=CC=C(I)C(I)=C1OC1=CC(I)=C(O)C=C1,prostate,Rat,Human,0.558823529,0.849757552,0.913043478,,,kidney,0.348907429,0.624996968
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,C=CC(=O)OCCN1C(=O)N(CCOC(=O)C=C)C(=O)N(CCOC(=O)C=C)C1=O,kidney,Rat,Human,0.412371134,0.017385641,0.732217573,,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC1=C(C=C(C(O)=C1)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,0.212121212,0.349616766,0.732217573,,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1(COC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,brain,Rat,Human,0.7625,0.836233795,0.944444444,,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.486486486,0.44581309,0.732217573,,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CS(O)(=O)=O.CC(C)(C)C1=CC(\C=C2/SC(=N)NC2=O)=CC(=C1O)C(C)(C)C,kidney,Rat,Human,0.16,0.953298986,0.732217573,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.732217573,,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,kidney,Rat,Human,0.211009174,0.707252085,0.732217573,,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,CCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=CC=C1,kidney,Rat,Human,0.43442623,0.070921473,0.732217573,,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,ClC1=NC(C#N)=C(Cl)C(Cl)=C1Cl,kidney,Rat,Human,0.236363636,0.922912598,0.732217573,,,,,
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,CC1=CC(=CC=C1N)C1=C(NC2=C(OC)C=C2)C(=O)C=C1,kidney,Rat,Human,0.234693878,0.350585788,0.732217573,,,,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,OS(O)(=O)=O.CC1=CC(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)=CC2=C1NC(=O)CC2(C)C,prostate,Rat,Human,0.248587571,0.471911073,0.913043478,,,,,
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,CSC1=NC(=CS1)C1=CC=CC=C1,kidney,Rat,Human,0.298507463,0.807785511,0.732217573,,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,CC1(C)CNC(NC1)=NN=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F,kidney,Rat,Human,0.338983051,0.931098282,0.732217573,,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl,kidney,Rat,Human,0.35,0.776722074,0.732217573,,,,,
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1,kidney,Rat,Human,0.529411765,0.579944134,0.732217573,,,,,
