Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Diversity,,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,COC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,kidney,Rat,Human,0.761904762,0.890066803,0.715481172,,,brain,0.468779815,0.785135229
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,CCC(C)(C)OC(=O)C1=CC=C(OC2=C(Cl)C=C(Cl)C=C2Cl)C=C1,kidney,Rat,Human,0.301075269,0.234097019,0.715481172,,,prostate,0.360631031,0.620891118
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,CC(C)C1=CC(I)=C(OC2=C(I)C(I)=C(O)C=C2)C(I)=C1,prostate,Rat,Human,0.4125,0.982140362,0.880434783,,,kidney,0.351799318,0.641054224
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,OC(=O)CN(CC(O)=O)CC(O)=O,kidney,Rat,Human,0.155844156,0.349480122,0.715481172,,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC(O)=O,kidney,Rat,Human,0.090909091,0.49224472,0.715481172,,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,COC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,brain,Rat,Human,0.807692308,0.826015651,1,,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.486486486,0.44581309,0.715481172,,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CC(C)(C)C(=O)C(C)(C)C1=CC(\C=C2/SC(=N)NC2=O)=CC(=C1O)C(C)(C)C,kidney,Rat,Human,0.157480315,0.952481806,0.715481172,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.715481172,,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,kidney,Rat,Human,0.211009174,0.707252085,0.715481172,,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,[Cl-].CCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,kidney,Rat,Human,0.963414634,0.070894025,0.715481172,,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,CSC1=NC(C#N)=C(Cl)C(Cl)=C1Cl,kidney,Rat,Human,0.203389831,0.982376814,0.715481172,,,,,
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,0.101010101,0.435207397,0.715481172,,,,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,FC1=CC=CC(=C1)N1N=C(C=C1)C1=CC=C(C=C1)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C(O)=O,prostate,Rat,Human,0.493506494,0.450431108,0.880434783,,,,,
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,Cl.Cl.CN1CCC(CC1)NC1=NC2=C(NC3=CC(Cl)=C(F)C=C3)N=CN=C2C=N1,kidney,Rat,Human,0.240384615,0.668230653,0.715481172,,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,CC1(C)CNC(NC1)=NN=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F,kidney,Rat,Human,0.338983051,0.931098282,0.715481172,,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,CC(C)(C1=CC=CC=C1)C1=CC(=C(O)C=C1)C(C)(C)C1=CC=CC=C1,kidney,Rat,Human,0.533333333,0.417362362,0.715481172,,,,,
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,O=C1C=C(OC2=C1C1=C(C=CC=C1)C=C2)C1=CC=CC=C1,kidney,Rat,Human,0.696969697,0.411567032,0.715481172,,,,,
[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,kidney,Rat,Human,0.431192661,0.145435169,0.715481172,,,,,
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,OC1=CC=C(C=C1)C(=O)OC1=CC=C(O)C(O)=C1O,kidney,Rat,Human,0.484848485,0.990272939,0.715481172,,,,,
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,COP(=O)(OC)SCN1C(=O)OC2=CC(Cl)=CN=C12,prostate,Rat,Human,0.197530864,0.509896457,0.880434783,,,,,
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,OC1=CC=C(\C=C\C(=O)CC(=O)\C=C\C2=CC=C(O)C=C2)C=C1,prostate,Rat,Human,0.406976744,0.599465191,0.880434783,,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,C(=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.492957746,0.642936528,0.715481172,,,,,
