Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Diversity,,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O,kidney,Rat,Human,0.666666667,0.924857855,0.794117647,,,brain,0.330322843,0.798483713
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,COC(=O)C(C)OC1=CC=C(OC2=CN=C3C=C(O2)C=C(Cl)C=C3)C=C1,kidney,Rat,Human,0.326530612,0.108640403,0.794117647,,,prostate,0.340160336,0.599382403
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,OC(=O)C1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,prostate,Rat,Human,0.761904762,0.564413965,0.945652174,,,kidney,0.346859509,0.648116204
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,OCC(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,kidney,Rat,Human,0.485714286,0.009724917,0.794117647,,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC1=C(C=C(C(O)=C1)C(C)(C)C)C(C)(C)C,kidney,Rat,Human,0.212121212,0.349616766,0.794117647,,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C(O)C=C2)C1=CC=C(O)C=C1,brain,Rat,Human,0.604395604,0.935651124,1,,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.486486486,0.44581309,0.794117647,,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CS(O)(=O)=O.CC(C)(C)C1=CC(\C=C2/SC(=N)NC2=O)=CC(=C1O)C(C)(C)C,kidney,Rat,Human,0.16,0.953298986,0.794117647,,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,kidney,Rat,Human,0.483870968,0.999604404,0.794117647,,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,kidney,Rat,Human,0.211009174,0.707252085,0.794117647,,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,[Cl-].CCCCCCCCCCCCCCCCCCCCC[P+](CC)(CC)CCCC1=CC=CC=C1,kidney,Rat,Human,0.622807018,0.34923473,0.794117647,,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,ClC1=NC(C#N)=C(Cl)C(Cl)=C1Cl,kidney,Rat,Human,0.236363636,0.922912598,0.794117647,,,,,
