Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Novelty,Diversity,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccc(O)cc1,kidney,Rat,Human,0.387356322,0.259550273,1,0.422594142,,brain,0.33839164,0.439520632
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,COCc1cccc(C(=O)NCc2ccc(Cl)cc2)c1,kidney,Rat,Human,0.461445783,0.049897388,1,0.422594142,,prostate,0.346610545,0.423282547
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,COc1ccc(F)cc1NC(=O)CC(O)c1cccc(F)c1,prostate,Rat,Human,0.304081633,0.435846925,1,0.608695652,,kidney,0.355194241,0.068060655
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,CC(C)(C)C(=O)N1CCC(C(=O)NCCc2ccccc2)CC1,kidney,Rat,Human,0.190909091,0.047747057,1,0.422594142,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,Cc1ccc(OCCNC(=O)c2ccccc2C)cc1C,kidney,Rat,Human,0.369230769,0.021174975,1,0.422594142,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,NC1(c2cccc(F)c2)CN(C(=O)c2cccc(F)c2)CCN1Cc1c(O)cccc1O,brain,Rat,Human,0.361904762,0.505417228,1,0.944444444,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(Cc1ccccc1)C(=O)c1cccc(C[NH3+])c1,kidney,Rat,Human,0.45,0.105268635,1,0.422594142,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CC(C)(C)OC(=O)NCc1c2cc(F)ccc2nc2c(F)cccc12,kidney,Rat,Human,0.433333333,0.17130281,1,0.422594142,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",O=C(Nc1ccccc1)Oc1ccc2[nH]c(=O)c3ccccc3c2c1,kidney,Rat,Human,0.409090909,0.067183748,1,0.422594142,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COc1ccc(CC(=O)Nc2ccc(OC)c(Cl)c2)cc1,kidney,Rat,Human,0.277570093,0.017641554,1,0.422594142,,,,
