Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Novelty,Diversity,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,O=C(Nc1ccc(OC(F)F)cc1)c1ccc(Br)cc1,kidney,Rat,Human,0.308791209,0.047229476,1,0.410041841,,brain,0.329262928,0.517104015
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,COc1ccc(COc2ccc(CO)cc2)c(Cl)c1,kidney,Rat,Human,0.40952381,0.103324011,1,0.410041841,,prostate,0.348362075,0.413400548
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,COc1ccc(OC)c(NC(=O)Cc2cc(F)ccc2F)c1,prostate,Rat,Human,0.342105263,0.491708487,1,0.586956522,,kidney,0.343456948,0.051799574
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,CCC(=O)N1CCC(C(=O)NCCc2ccc(C)cc2C)CC1,kidney,Rat,Human,0.200917431,0.033089045,1,0.410041841,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,Cc1csc(NC(=O)COc2ccc(C)c(C)c2)n1,kidney,Rat,Human,0.391666667,0.026026845,1,0.410041841,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,CC1(c2ccc(NC(=O)Cc3c(F)cccc3F)cc2)CCC(=O)N1,brain,Rat,Human,0.330088496,0.290025592,1,0.944444444,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(CC(=O)Nc1ccc(F)cc1)C(=O)c1ccccc1,kidney,Rat,Human,0.429411765,0.038233556,1,0.410041841,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CCC(C)CC(C)NC(=O)c1cc2ccc(F)cc2nc1C,kidney,Rat,Human,0.33853211,0.040505163,1,0.410041841,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",Cc1cc(C2NC(=O)c3ccccc3N2)ccc1Oc1ccccc1,kidney,Rat,Human,0.445794393,0.09817259,1,0.410041841,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COc1ccc(NC(=O)Cc2ccc(C)c(OC)c2)cc1,kidney,Rat,Human,0.288679245,0.02247454,1,0.410041841,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,CC(CCc1ccccc1)C(=O)Nc1ccn(C)n1,kidney,Rat,Human,0.282608696,0.036325142,1,0.410041841,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,O=C(Nc1ccccc1Cl)N1CCN(Cc2ccc(Cl)cc2)CC1,kidney,Rat,Human,0.252173913,0.033182479,1,0.410041841,,,,
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,COc1ccc(Cl)cc1NC(=O)c1cccc(C#N)c1,kidney,Rat,Human,0.440909091,0.022586789,1,0.410041841,,,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,COc1ccc(N2CCN(C(=O)c3cc(C)ccc3O)CC2)cc1,prostate,Rat,Human,0.457142857,0.397739351,1,0.586956522,,,,
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,CCc1c(C(=O)NC2CCCC2C)cnn1-c1ccccc1,kidney,Rat,Human,0.387356322,0.026532125,1,0.410041841,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,O=S(=O)(NCC(O)c1ccc(Cl)cc1)c1ccc(F)cc1,kidney,Rat,Human,0.326804124,0.022599131,1,0.410041841,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,CC(=O)Nc1ccc(C(=O)Nc2ccccc2)cc1,kidney,Rat,Human,0.437837838,0.006987309,1,0.410041841,,,,
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,CCNc1cccc(C(=O)N2CCCC2c2ccccc2)[nH+]1,kidney,Rat,Human,0.352747253,0.019537941,1,0.410041841,,,,
[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,Cc1cc(C(=O)NC2CCCC(S(C)(=O)=O)C2)c(C)o1,kidney,Rat,Human,0.192436975,0.034757577,1,0.410041841,,,,
OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,CC(C)C(=O)Nc1cccc(C(=O)Nc2ccccc2)c1,kidney,Rat,Human,0.429113924,0.011901645,1,0.410041841,,,,
COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,Cc1csc(NC(=O)COc2ccc(C)c(C)c2)n1,prostate,Rat,Human,0.340506329,0.50915128,1,0.586956522,,,,
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,COc1ccc(C(=O)NCc2ccc(Br)cc2)cc1,prostate,Rat,Human,0.40952381,0.397996753,1,0.586956522,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(CC(=O)Nc1ccc(F)cc1)C(=O)c1ccccc1,kidney,Rat,Human,0.5,0.038233556,1,0.410041841,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",Cc1cc(C2NC(=O)c3ccccc3N2)ccc1Oc1ccccc1,kidney,Rat,Human,0.445794393,0.09817259,1,0.410041841,,,,
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,CC(C)NC(=O)c1ccc(Cl)cc1OC(F)F,prostate,Rat,Human,0.315189873,0.472235501,1,0.586956522,,,,
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,CCCC1CCC([NH+]2CCC3CCC(C2)N3c2nccs2)CC1,kidney,Rat,Human,0.142553191,0.023748599,1,0.410041841,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",Cc1cc(C2NC(=O)c3ccccc3N2)ccc1Oc1ccccc1,kidney,Rat,Human,0.445794393,0.09817259,1,0.410041841,,,,
NC1=CC2=C(C=CC=C2)C=C1,CCCc1cc(NC(=O)c2ccccc2S(C)(=O)=O)n(C)n1,kidney,Rat,Human,0.294805195,0.044136725,1,0.410041841,,,,
CCN(CC)C1=CC=C(C=O)C(O)=C1,CCN(CC)c1ccc2c(c1)OCC(C#N)C2c1ccccc1,kidney,Rat,Human,0.416455696,0.474707514,1,0.410041841,,,,
COC1=CC2=C(C=C1OC)[C@H]1[C@@H](CO2)OC2=C(C=CC3=C2C[C@@H](O3)C(C)=C)C1=O,COc1cccc(CNC(=O)c2cc(C)ccc2OC)c1,kidney,Rat,Human,0.326086957,0.013277791,1,0.410041841,,,,
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,N#Cc1cccc2c1C(N)=CC(=O)C2COC1CCCCC1,kidney,Rat,Human,0.298113208,0.151998028,1,0.410041841,,,,
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,CCCC(C)C(=O)Nc1ccc(C(=O)N(C)C)cc1C#N,prostate,Rat,Human,0.33255814,0.413675755,1,0.586956522,,,,
Cl.CCN(CC1=CC=CN=C1)C(=O)C1=CC=CC(Cl)=C1[C@]1(C)C(=O)N(CC2=C(OC)C=C(OC)C=C2)C2=CC=C(Cl)C=C12,CC1(c2ccc(NC(=O)Cc3c(F)cccc3F)cc2)CCC(=O)N1,kidney,Rat,Human,0.288679245,0.016145622,1,0.410041841,,,,
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,Cc1cccc(NC(=O)C(SC2=NCCS2)C(C)C)c1,brain,Rat,Human,0.251162791,0.480926305,1,0.944444444,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",Cc1cc(C2NC(=O)c3ccccc3N2)ccc1Oc1ccccc1,kidney,Rat,Human,0.445794393,0.09817259,1,0.410041841,,,,
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,Cc1ccccc1Nc1nc(CC(C)C)nc(CC(F)F)n1,brain,Rat,Human,0.458974359,0.617243111,1,0.944444444,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,CCC(C)CC(C)NC(=O)c1cc2ccc(F)cc2nc1C,kidney,Rat,Human,0.33853211,0.040505163,1,0.410041841,,,,
CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,O=C(Nc1cccc(S(=O)(=O)N2CCCCC2)c1)C1CCCCC1,kidney,Rat,Human,0.318181818,0.027794516,1,0.410041841,,,,
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,CCn1nc(C)c2c1CCCC2[NH+]1CCCC2CCC(C)C21,prostate,Rat,Human,0.296078431,0.398609579,1,0.586956522,,,,
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,Cc1cccc(NC(=O)C(SC2=NCCS2)C(C)C)c1,brain,Rat,Human,0.251162791,0.480926365,1,0.944444444,,,,
CCCCOC(=O)C1=CC=C(O)C=C1,COc1ccc(NC(=O)c2csc(Br)c2)cc1,kidney,Rat,Human,0.325352113,0.07714697,1,0.410041841,,,,
COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O,CC(C)C(O)CC1Cc2ccccc2NC1=O,kidney,Rat,Human,0.322222222,0.015583573,1,0.410041841,,,,
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,O=C(Nc1ccc(OC(F)F)cc1)c1ccc(Br)cc1,kidney,Rat,Human,0.340963855,0.047229476,1,0.410041841,,,,
ClC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,CC(C)C(=O)Nc1cccc(C(=O)Nc2ccccc2)c1,kidney,Rat,Human,0.46,0.011901652,1,0.410041841,,,,
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,CC(C)(O)CS(=O)Cc1ccccc1-c1ccccc1,prostate,Rat,Human,0.42,0.102618314,1,0.586956522,,,,
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,Cc1ccc(C(C)(C)NC(=O)C2CCCCC2c2n[nH]c(=O)n2C)s1,brain,Rat,Human,0.242857143,0.431855083,1,0.944444444,,,,
[Cl-].CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,CCc1nn(C)cc1NC(=O)NCc1nc(C)c(C)s1,kidney,Rat,Human,0.155555556,0.019142345,1,0.410041841,,,,
CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1,Cc1ccsc1CNC(=O)CCC(F)(F)F,kidney,Rat,Human,0.328915663,0.036434609,1,0.410041841,,,,
CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,CC(C)C(=O)NC(C)c1nc(-c2ccccc2)no1,prostate,Rat,Human,0.310526316,0.443322361,1,0.586956522,,,,
CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,O=C(Nc1cccc(S(=O)(=O)N2CCCCC2)c1)C1CCCCC1,kidney,Rat,Human,0.318181818,0.027794516,1,0.410041841,,,,
Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,O=C(COc1ccccc1)Nc1ccc(N2CCCC2)cc1,kidney,Rat,Human,0.3890625,0.03881073,1,0.410041841,,,,
CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,CCCC(C)C(=O)Nc1ccc(C(=O)N(C)C)cc1C#N,prostate,Rat,Human,0.33255814,0.413675755,1,0.586956522,,,,
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(CC(=O)Nc1ccc(F)cc1)C(=O)c1ccccc1,kidney,Rat,Human,0.5,0.038233556,1,0.410041841,,,,
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,CCCCC(C)C(=O)N1CCC(c2ccccc2)=C(O)C1,kidney,Rat,Human,0.2875,0.066384971,1,0.410041841,,,,
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,CCn1c(NC(CO)c2ccc(Cl)cc2Cl)[nH+]c2ccccc21,prostate,Rat,Human,0.417647059,0.596241951,1,0.586956522,,,,
CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,COC1(C)CC(NC(=O)c2ccc(C(=O)N(C)C)cc2)C1(C)C,kidney,Rat,Human,0.278217822,0.06068049,1,0.410041841,,,,
CC(C)N(C(=O)CCl)C1=CC=CC=C1,Cc1ccc(C[NH3+])nc1N(C)c1ccccc1,kidney,Rat,Human,0.423076923,0.046999898,1,0.410041841,,,,
CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1Cl,CN(Cc1cccc(Cl)c1)C(=O)Nc1ccccc1,kidney,Rat,Human,0.447826087,0.04438141,1,0.410041841,,,,
O=C(CC1=CC=CC=C1)C1=CC=CC=C1,CN(C)C(=O)c1ccc(CN(C)C(=O)Cc2ccccc2)cc1,kidney,Rat,Human,0.502597403,0.079436995,1,0.410041841,,,,
Cl.COC1=CC=CC(=C1)C1=C(Cl)C=C(\C=C/CN2CCCCCC2)C=C1,COc1cccc(C2CCCN2C(=O)c2cc(Cl)c[nH]2)c1,kidney,Rat,Human,0.41372549,0.04205519,1,0.410041841,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,CC(=O)Nc1ccc(C(=O)Nc2ccccc2)cc1,kidney,Rat,Human,0.437837838,0.006987313,1,0.410041841,,,,
Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,COc1ccc(C)c(NC(=O)c2ccccc2C)c1,kidney,Rat,Human,0.385714286,0.029261911,1,0.410041841,,,,
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,CCc1nn(C)cc1NC(=O)CCc1ccc(C)cc1,kidney,Rat,Human,0.16557377,0.029523151,1,0.410041841,,,,
CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,CC(C)C(=O)NC(C)c1nc(-c2ccccc2)no1,prostate,Rat,Human,0.310526316,0.443322361,1,0.586956522,,,,
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,CCn1nc(C)c2c1CCCC2[NH+]1CCCC2CCC(C)C21,prostate,Rat,Human,0.296078431,0.398609638,1,0.586956522,,,,
CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1,CCN(CC)c1ccc2c(c1)OCC(C#N)C2c1ccccc1,prostate,Rat,Human,0.429411765,0.466198295,1,0.586956522,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)C(Cl)(Cl)Cl,O=C(Nc1ccc(OC(F)F)cc1)c1ccc(Br)cc1,kidney,Rat,Human,0.34137931,0.047229476,1,0.410041841,,,,
CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,CCCCC(C)C(=O)N1CCC(c2ccccc2)=C(O)C1,prostate,Rat,Human,0.2875,0.410674572,1,0.586956522,,,,
