Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Novelty,Diversity,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,O=C(CF)N(C(=O)c1csc(F)c1)c1ccc(O)cc1,kidney,Rat,Human,0.452873563,0.396883219,1,0.403361345,,brain,0.482469483,0.526217373
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,COc1ccc(OCC(=O)N2CC(OCc3ccc(Cl)cc3)C2)cc1,kidney,Rat,Human,0.611111111,0.090722598,1,0.403361345,,prostate,0.475484922,0.46002057
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,CN(C(=O)C[C@@H](O)c1cccc(F)c1)c1cc(F)ccc1O,prostate,Rat,Human,0.444680851,0.426962018,1,0.532608696,,kidney,0.484707904,0.07315858
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,C=CCN(CC=C)C(=O)C1CC(=N)N(C(=O)C(C)(C)C)CC1=C,kidney,Rat,Human,0.371717172,0.003266741,1,0.403361345,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC(=O)NC(=CCl)C(F)Oc1cc(C)c(C)c(C)c1,kidney,Rat,Human,0.563636364,0.040968917,1,0.403361345,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,O=C1N(Cc2cccc(F)c2)c2ccccc2[C@]1(O)c1cccc(F)c1,brain,Rat,Human,0.536448598,0.553054452,1,0.944444444,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(C[C@H]1C=c2ccccc2=[NH+]C1=O)C(=O)c1ccccc1,kidney,Rat,Human,0.592857143,0.062351715,1,0.403361345,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,COC(=O)c1nc2ccc(F)cc2c2oc(C(C)(C)O)cc12,kidney,Rat,Human,0.523529412,0.109682262,1,0.403361345,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",O=C1N[C@H](c2cccc(Oc3ccccc3)c2)Oc2ccccc21,kidney,Rat,Human,0.592156863,0.097066194,1,0.403361345,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COc1ccc(C)cc1NC(=O)CN(C)c1ccc(OC2CCCC2)cc1,kidney,Rat,Human,0.497297297,0.04603941,1,0.403361345,,,,
