Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Novelty,Diversity,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,O=C(Nc1ccsc1)c1csc(Br)c1,kidney,Rat,Human,0.23253012,0.129545808,1,0.377880184,,brain,0.253932133,0.625419772
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,COc1ccc(CC(=O)N2C[C@@H](c3ccc(Cl)cc3)CC2)cc1,kidney,Rat,Human,0.486363636,0.03894145,1,0.377880184,,prostate,0.290464711,0.457091783
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,O=C(C[C@@H](O)c1cc(F)cc(F)c1)Nc1cc(F)c(F)cc1F,prostate,Rat,Human,0.302020202,0.587401211,1,0.518987342,,kidney,0.270468787,0.067320843
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,CC(C)(C)OC(=O)N1CCC([NH2+]Cc2cc(F)cc(C(F)(F)F)c2)C1,kidney,Rat,Human,0.160344828,0.185616404,1,0.377880184,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CCOc1ccc(C)c(CNC(=O)c2cc(C)c(C)c(C)c2C)c1,kidney,Rat,Human,0.365060241,0.016647499,1,0.377880184,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,O=C(Nc1cccc(F)c1)c1cnn(C)c1Cl,brain,Rat,Human,0.226213592,0.36878249,1,0.933333333,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(CC(=O)N[C@@H]1CC(=O)N(C2CC2)C1)c1ccc(C#N)cc1,kidney,Rat,Human,0.234615385,0.019043772,1,0.377880184,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,COc1cc(Br)c([C@@H](O)c2cc(C(F)(F)F)cs2)o1,kidney,Rat,Human,0.245454545,0.385091484,1,0.377880184,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COc1ccc(NC(=O)C2(c3ccc(C)cc3OC)CC2)cc1OC,kidney,Rat,Human,0.262393162,0.010279856,1,0.377880184,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,C[C@@H]([NH3+])c1cccc(C[C@@H]([NH3+])c2ccccc2)c1,kidney,Rat,Human,0.256521739,0.045875564,1,0.377880184,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,O=C(Nc1cc(Cl)ccc1OC1CCC1)N1CCOC[C@@H]1C1CC1,kidney,Rat,Human,0.217021277,0.056641616,1,0.377880184,,,,
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,COc1cc(C(=O)Nc2cc(Cl)ccc2NOC)n1,kidney,Rat,Human,0.352747253,0.209291339,1,0.377880184,,,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,COc1ccc(C(=O)N2CCN(c3cc(C)[nH]c3C)CC2)cc1,prostate,Rat,Human,0.380821918,0.370901138,1,0.518987342,,,,
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,Cn1cc(-c2cccnc2)c([NH2+][C@@H]2CCCN(c3ccccn3)C2)c1,kidney,Rat,Human,0.33,0.1051687,1,0.377880184,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,O=C(N[C@@H](O)c1cc(F)cc(F)c1)c1ccc(F)c(Cl)c1,kidney,Rat,Human,0.256862745,0.07297606,1,0.377880184,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,O=C(Nc1ccsc1)c1csc(Br)c1,kidney,Rat,Human,0.218421053,0.129545763,1,0.377880184,,,,
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,O[C@@H]1CC([NH+](Cc2cc3cc(c2)OCCO3)C[C@@H]2CO2)C1,kidney,Rat,Human,0.178431373,0.026982423,1,0.377880184,,,,
