Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Novelty,Diversity,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,O=C(Nc1ccc(Cl)cc1)[C@@H]1CC(c2ccccc2)=NO1,kidney,Rat,Human,0.323404255,0.073363371,1,0.368200837,,brain,0.301653457,0.489277025
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,COc1ccc(OCC(=O)Nc2ccc3c(c2)CCC3)cc1OC,kidney,Rat,Human,0.362626263,0.011703683,1,0.368200837,,prostate,0.286341778,0.426805847
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,C[C@H](NC(=O)Cc1cccc(O)c1)c1cc(F)ccc1F,prostate,Rat,Human,0.33655914,0.53857857,1,0.510869565,,kidney,0.301687413,0.047856834
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,C/C=C(\CC)N1CCN(C(=O)/C=C/C2CC2)CC1,kidney,Rat,Human,0.204166667,0.044862226,1,0.368200837,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CCOc1cc(CNC(C)=O)ccc1O[C@@H](C)c1ccccc1,kidney,Rat,Human,0.266666667,0.007200691,1,0.368200837,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,O=C1Cc2ccccc2N1Cc1cccc(OC(F)F)c1,brain,Rat,Human,0.316981132,0.495933503,1,0.944444444,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(CC1=CC[C@@H](N)C=C1)n1ccc(=O)c2ccccc21,kidney,Rat,Human,0.312765957,0.04162278,1,0.368200837,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,COC(=O)c1cccc(OCc2cc(Cl)ccc2C)n1,kidney,Rat,Human,0.28018018,0.039016418,1,0.368200837,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",O=C(Cc1cccc(O)c1)N1CCOc2ccccc21,kidney,Rat,Human,0.294444444,0.05628515,1,0.368200837,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COc1cc(C(N)=O)ccc1NC(=O)NCc1nc2c(OC)cccc2s1,kidney,Rat,Human,0.225984252,0.008758659,1,0.368200837,,,,
[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,CC(C)[C@@H]([NH3+])c1cccc(C(=O)CCC(F)F)c1,kidney,Rat,Human,0.201694915,0.032641184,1,0.368200837,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,COC(=O)c1cc(N2CCN(C(=O)Nc3ccccc3Cl)CC2)ccc1Cl,kidney,Rat,Human,0.264948454,0.049749929,1,0.368200837,,,,
