Source_Mol,Optimized_Mol,Tissue,Source_Organism,Optimized_Organism,Tanimoto_Similarity,Tissue_Activity,Novelty,Diversity,,,Tanimoto_Similarity,Tissue_Activity
OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,O=C(Nc1ccsc1)c1ccc(OCC(=O)Nc2ccncc2)cc1,kidney,Rat,Human,0.275925926,0.031279448,1,0.437810945,,brain,0.313292992,0.506416973
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,COc1ccc(CN(C)C(=O)COc2ccc(Cl)cc2)cc1,kidney,Rat,Human,0.612820513,0.023519997,1,0.437810945,,prostate,0.334623725,0.440886349
OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1,O=C(COc1cccc(F)c1)Nc1ccc(F)cc1F,prostate,Rat,Human,0.315053763,0.510492265,1,0.544444444,,kidney,0.353361077,0.070658111
CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,CC(C)(C)OC(=O)N1CCC(NC(=O)[C@@H]2CCC[C@@H]2C(N)=O)CC1,kidney,Rat,Human,0.210091743,0.24767521,1,0.437810945,,,,
CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,CC(C)OC(=O)NCc1ccc(C)cc1OC,kidney,Rat,Human,0.346376812,0.039375603,1,0.437810945,,,,
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,O=C1CN(C(=O)Cc2cccc(F)c2)c2ccccc2O1,brain,Rat,Human,0.328571429,0.414719284,1,0.944444444,,,,
COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,CN(CC(=O)N(C)C[C@@H]1CCCN1C(=O)c1ccccc1)N(C)Cc1ccccc1,kidney,Rat,Human,0.449514563,0.014467399,1,0.437810945,,,,
Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,COC[C@@](C)(O)C(=O)Nc1cc2cc(F)ccc2o1,kidney,Rat,Human,0.37,0.084417522,1,0.437810945,,,,
"C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|",O=C1N[C@H](c2cccc(OCc3ccccc3)c2)Oc2ccccc21,kidney,Rat,Human,0.442592593,0.123743072,1,0.437810945,,,,
CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,COc1ccc(C)cc1NCc1ccc(C)cc1NC1CCCC1,kidney,Rat,Human,0.336363636,0.031518921,1,0.437810945,,,,
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,O=C(COc1ccccc1)N1CCN(C(=O)c2ccccc2)CC1,kidney,Rat,Human,0.203092784,0.040283948,1,0.437810945,,,,
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,COc1ccccc1C(=O)Nc1cc2ccccc2o1,kidney,Rat,Human,0.463636364,0.050262392,1,0.437810945,,,,
[Na+].CCOC1=CC(=CC=C1)N1C=C(N=C1C1=CC=C(C)C=C1)C(=O)N1CCN(CC1)C1=CC2=CC=CC=C2C(=C1)C([O-])=O,COc1ccc(C(=O)N2CCN(c3ccc(C)c(C)c3)CC2)cc1,prostate,Rat,Human,0.428671329,0.394689739,1,0.544444444,,,,
CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,Cc1cccc(C(=O)Nc2ccccc2)c1C(=O)N1CCC1,kidney,Rat,Human,0.405882353,0.093374886,1,0.437810945,,,,
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,O=S(=O)(NCCc1ccc(F)cc1)c1ccc(C(F)(F)F)cc1,kidney,Rat,Human,0.433333333,0.166894674,1,0.437810945,,,,
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,O=C(Nc1ccsc1)c1ccc(OC(F)(F)F)cc1,kidney,Rat,Human,0.295121951,0.115447417,1,0.437810945,,,,
O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,c1cc(N2CC[C@@H]([NH+]3CCc4ccccc43)C2)ccc1,kidney,Rat,Human,0.40952381,0.133825958,1,0.437810945,,,,
[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O,CC[C@@H](C)C(=O)N[C@@H]1CCC[C@H](S(C)(=O)=O)C1,kidney,Rat,Human,0.241509434,0.042104311,1,0.437810945,,,,
